name,element,team,position,value,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,influence,creativity,threat,ict_index,round
Aaron Connolly,72,Brighton,FWD,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Aaron Cresswell,411,West Ham,DEF,55,7,90,1,0,0,0,55.8,17.5,18.0,9.1,1
Aaron Ramsey,496,Aston Villa,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Aaron Wan-Bissaka,288,Man Utd,DEF,55,2,90,0,0,0,0,4.8,2.3,2.0,0.9,1
Abdoulaye Doucouré,173,Everton,MID,55,8,90,1,0,0,1,41.8,4.6,37.0,8.3,1
Adam Armstrong,525,Southampton,FWD,60,6,90,1,0,0,0,33.2,1.0,40.0,7.4,1
Adam Forshaw,552,Leeds,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Adam Idah,329,Norwich,FWD,50,1,13,0,0,0,0,3.2,0.5,33.0,3.7,1
Adam Lallana,53,Brighton,MID,55,1,45,0,0,0,0,1.6,3.0,2.0,0.7,1
Adam Masina,390,Watford,DEF,45,1,90,0,0,0,0,7.2,0.3,0.0,0.8,1
Adam Webster,61,Brighton,DEF,45,2,90,0,0,0,0,23.6,2.8,0.0,2.6,1
Adama Traoré,435,Wolves,MID,60,2,90,0,0,0,0,20.6,13.4,87.0,12.1,1
Adedapo Awokoya-Mebude,469,Watford,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Adrián San Miguel del Castillo,223,Liverpool,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ainsley Maitland-Niles,13,Arsenal,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Albert Sambi Lokonga,478,Arsenal,MID,50,2,90,0,0,0,0,19.4,34.3,8.0,6.2,1
Alex Iwobi,174,Everton,MID,60,4,20,0,1,0,0,20.6,11.0,23.0,5.5,1
Alex McCarthy,334,Southampton,GK,45,2,90,0,0,0,0,22.0,0.0,0.0,2.2,1
Alex Nicolao Telles,279,Man Utd,DEF,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Alex Oxlade-Chamberlain,227,Liverpool,MID,60,3,60,0,0,1,0,0.0,5.3,4.0,0.7,1
Alexandre Lacazette,6,Arsenal,FWD,85,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Alexis Mac Allister,74,Brighton,MID,55,9,14,1,0,0,0,38.2,0.4,17.0,5.6,1
Alireza Jahanbakhsh,66,Brighton,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Alisson Ramses Becker,231,Liverpool,GK,60,7,90,0,0,1,0,29.4,0.0,0.0,2.9,1
Allan Marques Loureiro,171,Everton,MID,45,2,90,0,0,0,0,11.4,2.0,7.0,2.0,1
Allan Saint-Maximin,307,Newcastle,FWD,65,6,90,0,1,0,0,39.6,48.3,10.0,9.8,1
Alphonse Areola,489,West Ham,GK,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Andi Zeqiri,535,Brighton,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Andre Gray,383,Watford,FWD,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Andreas Christensen,133,Chelsea,DEF,50,7,90,0,0,1,0,18.6,1.3,0.0,2.0,1
Andreas Pereira,511,Man Utd,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Andreas Söndergaard,444,Wolves,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Andrew Omobamidele,331,Norwich,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Andrew Robertson,234,Liverpool,DEF,70,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Andriy Yarmolenko,412,West Ham,MID,55,1,1,0,0,0,0,0.0,1.0,0.0,0.1,1
Andros Townsend,482,Everton,MID,55,5,69,0,1,0,0,30.8,40.5,0.0,7.1,1
André Filipe Tavares Gomes,172,Everton,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Angelo Ogbonna,409,West Ham,DEF,50,1,90,0,0,0,0,12.0,0.9,0.0,1.3,1
Angus Gunn,448,Norwich,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Anthony Elanga,512,Man Utd,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Anthony Gordon,503,Everton,MID,45,1,1,0,0,0,0,0.0,0.5,0.0,0.1,1
Anthony Martial,278,Man Utd,FWD,80,1,15,0,0,0,0,2.4,1.2,0.0,0.4,1
Antonio Rüdiger,127,Chelsea,DEF,55,6,90,0,0,1,0,14.6,3.4,0.0,1.8,1
Anwar El Ghazi,42,Aston Villa,MID,60,1,59,0,0,0,0,1.4,2.7,4.0,0.8,1
Armando Broja,518,Southampton,FWD,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Arthur Masuaku,417,West Ham,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ashley Barnes,105,Burnley,FWD,55,1,20,0,0,0,0,2.2,10.1,0.0,1.2,1
Ashley Fletcher,395,Watford,FWD,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ashley Westwood,107,Burnley,MID,55,7,90,0,1,0,0,27.8,32.4,0.0,6.0,1
Ashley Young,52,Aston Villa,DEF,50,1,90,0,0,0,0,8.4,22.7,6.0,3.7,1
Asmir Begović,481,Everton,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Axel Tuanzebe,283,Aston Villa,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Aymeric Laporte,259,Man City,DEF,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ayotomiwa Dele-Bashiru,394,Watford,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ayoze Pérez,211,Leicester,MID,60,3,61,0,0,1,0,7.2,35.2,2.0,4.4,1
Bailey Peacock-Farrell,117,Burnley,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Bali Mumba,515,Norwich,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Bamidele Alli,363,Spurs,MID,65,3,90,0,0,1,0,12.4,2.2,0.0,1.5,1
Ben Davies,248,Liverpool,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ben Davies,364,Spurs,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ben Foster,376,Watford,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ben Gibson,456,Norwich,DEF,45,1,90,0,0,0,0,32.4,0.6,51.0,8.4,1
Ben Godfrey,179,Everton,DEF,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ben Johnson,425,West Ham,DEF,40,1,1,0,0,0,0,1.0,0.1,0.0,0.1,1
Ben Mee,106,Burnley,DEF,50,1,90,0,0,0,0,9.6,0.8,7.0,1.7,1
Ben White,67,Arsenal,DEF,45,1,90,0,0,0,0,10.8,0.5,0.0,1.1,1
Ben Wilmot,401,Watford,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ben Woodburn,553,Liverpool,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Benjamin Chilwell,135,Chelsea,DEF,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Benjamin Mendy,253,Man City,DEF,55,3,78,0,0,0,0,15.2,29.1,2.0,4.6,1
Bernard Anício Caldeira Duarte,167,Everton,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Bernardo Fernandes Da Silva Junior,68,Brighton,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Bernardo Mota Veiga de Carvalho e Silva,261,Man City,MID,70,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Bernd Leno,1,Arsenal,GK,50,1,90,0,0,0,0,11.8,0.0,0.0,1.2,1
Bertrand Traoré,32,Aston Villa,MID,60,4,18,0,1,0,0,5.8,1.6,26.0,3.3,1
Billy Gilmour,145,Norwich,MID,45,2,90,0,0,0,0,11.6,2.1,0.0,1.4,1
Björn Engels,31,Aston Villa,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Bobby Thomas,534,Burnley,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Boubakary Soumaré,458,Leicester,MID,50,1,28,0,0,0,0,3.4,0.9,0.0,0.4,1
Brandon Williams,290,Man Utd,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Bruno Miguel Borges Fernandes,277,Man Utd,MID,120,20,90,3,0,0,0,106.2,35.9,59.0,20.1,1
Bryan Gil Salvatierra,487,Spurs,MID,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Bryan Mbeumo,96,Brentford,MID,55,3,85,0,0,1,0,2.4,13.3,22.0,3.8,1
Bukayo Saka,22,Arsenal,MID,65,1,31,0,0,0,0,6.6,12.3,12.0,3.1,1
Callum Hudson-Odoi,140,Chelsea,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Callum Wilson,296,Newcastle,FWD,75,6,84,1,0,0,0,33.0,1.1,70.0,10.4,1
Calum Chambers,10,Arsenal,DEF,45,1,80,0,0,0,0,13.2,16.8,12.0,4.2,1
Caoimhin Kelleher,242,Liverpool,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Carney Chukwuemeka,526,Aston Villa,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Charlie Goode,87,Brentford,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Charlie Taylor,113,Burnley,DEF,45,1,90,0,0,0,0,14.4,15.6,2.0,3.2,1
Che Adams,345,Southampton,FWD,70,5,90,0,1,0,0,26.4,18.3,10.0,5.5,1
Cheikhou Kouyaté,150,Crystal Palace,DEF,45,1,90,0,0,0,0,16.4,0.6,0.0,1.7,1
Chem Campbell,548,Wolves,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Chris Wood,109,Burnley,FWD,70,2,90,0,0,0,0,3.8,12.0,25.0,4.1,1
Christian Benteke,149,Crystal Palace,FWD,65,1,33,0,0,0,0,0.0,0.3,4.0,0.1,1
Christian Kabasele,384,Watford,DEF,45,1,90,0,0,0,0,20.2,0.1,4.0,2.4,1
Christian Marques,549,Wolves,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Christian Nørgaard,77,Brentford,MID,50,8,90,1,0,1,0,38.4,1.8,40.0,8.0,1
Christian Pulisic,137,Chelsea,MID,80,8,81,1,0,1,0,36.8,3.4,42.0,8.2,1
Christoph Zimmermann,324,Norwich,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Christos Tzolis,528,Norwich,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ciaran Clark,293,Newcastle,DEF,45,0,90,0,0,0,0,16.6,11.6,28.0,5.6,1
Cole Palmer,507,Man City,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Conor Coady,429,Wolves,DEF,45,2,90,0,0,0,0,11.2,0.0,0.0,1.1,1
Conor Coventry,522,West Ham,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Conor Gallagher,144,Crystal Palace,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Conor Hourihane,29,Aston Villa,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Craig Cathcart,379,Watford,DEF,45,1,90,0,0,0,0,11.8,0.8,0.0,1.3,1
Craig Dawson,414,West Ham,DEF,50,1,90,0,0,0,0,22.6,1.1,20.0,4.4,1
Cristian Romero,494,Spurs,DEF,50,1,1,0,0,0,0,0.2,0.2,0.0,0.0,1
Crysencio Summerville,551,Leeds,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Curtis Jones,244,Liverpool,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Cédric Soares,5,Arsenal,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
César Azpilicueta,119,Chelsea,DEF,60,6,66,0,0,1,0,10.4,8.6,6.0,2.5,1
Dale Stephens,102,Burnley,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Dan Burn,58,Brighton,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Dan Gosling,378,Watford,MID,50,1,21,0,0,0,0,2.6,0.3,0.0,0.3,1
Dane Scarlett,520,Spurs,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Daniel Amartey,208,Leicester,DEF,40,6,90,0,0,1,0,15.4,0.8,0.0,1.6,1
Daniel Bachmann,389,Watford,GK,45,1,90,0,0,0,0,2.8,0.0,0.0,0.3,1
Daniel Castelo Podence,438,Wolves,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Daniel James,287,Man Utd,MID,60,2,74,0,0,0,0,8.6,12.8,43.0,6.4,1
Daniel N'Lundulu,344,Southampton,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Danny Ings,337,Aston Villa,FWD,80,7,90,1,0,0,0,34.2,0.9,25.0,6.0,1
Danny Rose,377,Watford,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Danny Ward,204,Leicester,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Danny Welbeck,447,Brighton,FWD,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Darren Randolph,407,West Ham,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
David Raya Martin,80,Brentford,GK,45,8,90,0,0,1,0,27.8,0.0,0.0,2.8,1
David de Gea,270,Man Utd,GK,50,2,90,0,0,0,0,13.2,0.0,0.0,1.3,1
Davinson Sánchez,367,Spurs,DEF,45,5,90,0,0,1,1,18.8,0.3,6.0,2.5,1
Davy Pröpper,57,Brighton,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Dean Henderson,280,Man Utd,GK,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Declan Rice,421,West Ham,MID,50,2,90,0,0,0,0,27.8,25.3,6.0,5.9,1
Demarai Gray,484,Everton,MID,55,2,82,0,0,0,0,10.8,16.8,2.0,3.0,1
Dennis Praet,206,Leicester,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Diego Llorente,190,Leeds,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Dimitris Giannoulis,457,Norwich,DEF,45,1,90,0,0,0,0,21.4,12.2,2.0,3.6,1
Diogo Jota,240,Liverpool,MID,75,8,60,1,0,1,0,37.8,1.9,36.0,7.6,1
Divock Origi,235,Liverpool,FWD,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Domingos Quina,397,Watford,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Dominic Calvert-Lewin,177,Everton,FWD,80,7,90,1,0,0,0,34.2,2.3,83.0,12.0,1
Dominic Thompson,498,Brentford,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Donny van de Beek,282,Man Utd,MID,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Douglas Luiz Soares de Paulo,50,Aston Villa,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Dwight Gayle,300,Newcastle,FWD,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Dwight McNeil,118,Burnley,MID,60,2,78,0,0,0,0,21.6,30.6,0.0,5.2,1
Eberechi Eze,160,Crystal Palace,MID,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ederson Santana de Moraes,257,Man City,GK,60,2,90,0,0,0,0,6.6,0.0,0.0,0.7,1
Edinson Cavani,269,Man Utd,FWD,85,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Edouard Mendy,143,Chelsea,GK,60,6,90,0,0,1,0,11.2,0.0,0.0,1.1,1
Edward Nketiah,20,Arsenal,FWD,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ellery Balcombe,92,Brentford,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Emerson Palmieri dos Santos,539,Chelsea,DEF,45,1,4,0,0,0,0,0.0,0.1,2.0,0.2,1
Emil Krafth,303,Newcastle,DEF,45,0,84,0,0,0,0,9.4,1.3,4.0,1.5,1
Emile Smith Rowe,21,Arsenal,MID,55,2,90,0,0,0,0,13.0,35.3,25.0,7.3,1
Emiliano Buendía Stati,43,Aston Villa,MID,65,2,71,0,0,0,0,4.2,5.3,10.0,2.0,1
Emiliano Martínez,30,Aston Villa,GK,55,2,90,0,0,0,0,28.2,0.0,0.0,2.8,1
Emmanuel Dennis,450,Watford,FWD,50,12,65,1,1,1,0,62.2,33.4,87.0,18.3,1
Enock Mwepu,462,Brighton,MID,60,1,45,0,0,0,0,2.2,12.1,4.0,1.8,1
Eric Bailly,286,Man Utd,DEF,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Eric Dier,361,Spurs,DEF,45,7,90,0,0,1,0,17.0,0.1,0.0,1.7,1
